,order_status,order_products_value,order_freight_value,order_items_qty,order_sellers_qty,customer_city,customer_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,review_score,most_voted_class,delta_purch_delivered,delta_est_delivered,delta_approve_purch,delta_review_date,delta_answer_date
77,0,279.9,17.59,1,1,752,24,50,41,791,4,5,2,5,20,0,0,1
78,0,38.4,11.85,1,1,799,24,45,41,789,1,5,2,4,19,0,0,4
79,0,233.91,9.83,1,1,752,24,52,45,163,1,5,2,3,13,0,0,3
80,0,16.9,15.11,1,2,622,21,45,55,1064,1,5,2,15,23,0,0,1
81,0,143.0,38.55,1,1,752,24,52,40,659,2,5,2,20,25,0,0,0
82,0,98.0,14.1,2,1,752,24,45,58,2128,2,5,0,19,20,1,0,1
83,0,27.19,11.73,1,1,302,24,59,58,828,1,5,2,1,15,0,0,1
84,0,18.99,12.35,1,1,446,17,26,52,305,1,4,2,10,19,4,0,1
85,0,63.0,64.02,1,1,660,7,26,58,893,1,5,2,16,24,0,0,1
86,0,39.9,20.8,1,1,141,1,11,56,678,3,5,2,9,32,0,0,1
87,0,144.94,18.73,1,1,752,24,46,54,954,1,5,2,10,20,3,0,1
88,0,34.9,22.4,1,1,641,14,45,62,314,1,1,0,8,27,0,0,3
89,0,19.47,15.1,1,1,608,9,7,46,839,2,5,2,11,20,0,0,2
90,0,239.9,15.43,1,1,640,17,10,53,2789,1,1,0,7,21,0,0,23
91,0,439.9,22.57,1,1,57,5,33,55,248,1,1,1,19,28,0,0,1
92,0,120.0,14.59,1,1,640,17,11,60,196,4,1,0,104,32,0,-71,-70
94,0,34.2,11.89,1,1,270,24,16,56,237,3,5,2,8,18,0,0,1
95,0,99.9,25.25,1,1,80,12,12,50,465,1,5,2,17,35,1,0,2
96,0,179.99,46.73,1,1,640,17,46,34,802,1,1,0,43,36,1,-1,-1
97,0,169.0,8.05,1,1,752,24,54,30,598,1,5,2,6,11,0,0,1
98,0,144.41,13.14,1,1,595,24,36,47,956,1,5,2,16,30,0,0,2
99,0,165.0,13.59,1,1,752,24,54,55,640,1,1,0,18,16,0,-1,0
100,0,79.99,17.81,1,1,820,9,45,63,460,2,5,2,18,22,0,0,3
101,0,58.99,11.73,1,1,752,24,10,59,492,2,5,1,5,16,0,0,1
102,0,139.9,28.36,1,1,677,3,48,36,312,2,1,1,17,20,0,0,1
103,0,51.98,30.46,2,2,752,24,12,59,1092,1,5,2,3,18,0,0,2
104,0,59.9,17.67,1,1,717,22,33,59,341,2,5,2,15,23,0,0,2
105,0,99.9,17.95,1,1,843,9,45,52,1351,6,5,2,7,20,0,0,1
106,0,99.9,18.94,1,1,280,7,12,50,465,1,5,2,14,22,0,0,3
107,0,12.97,14.1,1,1,261,22,57,56,1568,1,4,2,13,19,0,0,1
108,0,69.9,71.88,1,3,31,23,31,30,689,2,1,0,21,33,0,0,1
110,0,29.9,14.35,1,12,248,21,57,57,823,2,4,0,16,34,0,0,5
111,0,25.9,16.79,1,1,739,17,24,56,568,1,5,2,29,27,0,0,3
112,0,22.0,8.72,1,1,752,24,26,38,183,2,5,0,4,23,0,0,1
113,0,29.0,14.22,1,6,394,24,7,60,163,1,1,0,3,20,0,0,3
114,0,99.99,17.95,1,1,592,17,20,54,1012,1,5,2,7,21,0,0,1
115,0,148.6,27.58,1,1,303,25,40,37,1106,1,5,2,11,26,3,0,8
116,0,99.0,9.03,1,2,67,17,12,55,312,1,3,0,22,21,0,0,6
117,0,56.99,16.16,1,1,545,16,12,50,405,1,2,0,14,26,0,0,10
118,0,79.99,17.0,1,1,464,3,52,47,1816,2,4,2,11,31,0,0,3
119,0,170.0,16.82,1,1,752,24,54,35,514,2,5,2,10,23,0,0,1
120,0,1459.0,233.59,1,1,585,14,26,59,1276,5,2,1,12,32,1,0,2
121,0,112.99,17.53,1,1,630,24,46,41,1141,1,5,0,21,19,0,0,2
122,0,189.99,18.75,1,4,26,17,54,35,514,2,2,0,8,23,0,0,1
123,0,89.9,20.3,1,2,236,17,45,59,471,1,1,1,12,31,1,0,3
124,0,34.9,9.34,1,1,752,24,24,57,1710,6,5,2,5,14,0,0,3
125,0,219.0,15.28,1,1,640,17,54,54,611,1,5,2,10,29,0,0,4
126,0,69.9,17.74,1,1,265,16,10,39,608,1,1,0,34,23,0,-10,-8
127,0,35.96,9.94,1,1,261,22,59,31,1210,3,5,2,3,16,0,0,3
128,0,99.99,13.72,1,1,117,24,20,54,1012,1,4,2,5,19,0,0,4
129,0,59.9,11.92,1,1,617,24,11,45,317,5,5,2,7,17,0,0,3
130,0,38.9,21.11,1,12,43,9,12,49,359,1,1,0,14,26,0,0,1
131,0,134.0,20.18,1,1,429,22,36,38,209,1,5,2,13,27,0,0,4
132,0,69.0,11.98,1,1,717,24,26,41,1734,3,2,0,14,19,0,0,1
133,0,79.9,21.05,1,1,418,22,42,49,415,6,5,2,16,24,0,0,3
134,0,46.99,19.8,1,6,122,6,45,63,525,2,1,0,7,23,1,0,1
135,0,419.0,48.52,1,1,622,21,17,54,196,5,1,0,54,27,0,-26,-23
136,0,1999.9,29.76,1,1,539,16,54,63,1324,1,3,0,14,23,2,0,1
137,0,26.7,16.11,1,1,85,24,2,54,920,1,4,2,5,21,0,0,7
139,0,74.8,13.54,1,1,479,24,12,50,290,1,1,0,31,20,0,-10,-9
140,0,59.9,15.17,1,1,620,7,32,52,624,1,1,0,7,23,0,-5,-4
141,0,56.97,12.8,1,1,40,24,1,52,919,1,5,2,2,18,0,0,3
142,0,32.64,16.6,1,1,765,9,53,56,703,1,4,2,20,25,0,-1,1
143,0,130.0,19.14,1,2,379,24,11,48,837,2,1,0,34,23,0,-10,-8
144,0,139.99,21.43,1,1,177,3,46,54,1283,1,5,2,42,39,0,-2,1
145,0,75.0,16.16,1,1,752,24,45,59,955,7,5,2,6,18,0,0,2
146,0,43.99,16.11,1,1,640,17,12,43,101,1,1,0,34,23,0,-10,-1
147,0,110.9,14.95,1,1,43,9,11,43,255,4,5,2,8,29,0,0,3
148,0,70.0,25.77,1,1,74,25,7,60,1657,2,5,2,20,34,0,0,1
150,0,25.0,21.15,1,1,401,13,59,46,79,3,5,2,12,34,0,0,1
151,0,89.5,11.83,1,1,752,24,59,40,545,3,5,2,12,15,0,0,2
152,0,215.0,26.35,1,1,486,7,12,56,162,5,5,2,14,30,1,0,7
153,0,79.0,45.02,1,1,752,24,50,59,314,3,5,2,15,16,0,0,0
154,0,229.99,17.22,1,1,348,9,20,57,934,1,5,2,7,17,1,0,1
156,0,120.0,21.33,1,1,784,24,53,57,747,2,2,1,14,25,0,0,2
157,0,59.9,17.67,1,1,622,21,33,58,340,2,5,2,13,23,0,0,1
158,0,69.99,17.74,1,1,555,16,20,48,874,1,5,2,8,22,1,0,1
159,0,89.85,14.72,1,2,636,24,45,61,157,9,4,1,6,17,0,0,1
160,0,1620.0,181.97,1,1,599,9,37,14,422,3,1,1,14,23,0,0,5
161,0,89.9,67.0,1,1,661,17,13,55,292,1,3,0,39,23,0,-14,-14
162,0,399.0,42.12,1,1,171,17,24,53,1698,4,4,2,9,28,0,0,4
163,0,28.56,19.83,1,2,506,9,59,37,886,1,5,2,10,27,0,0,1
164,0,119.5,18.72,1,1,82,9,36,57,777,4,2,1,6,19,0,0,2
165,0,151.8,51.62,2,1,358,14,45,35,1181,2,1,0,8,30,0,0,1
166,0,146.99,21.52,1,1,97,9,20,57,1620,1,5,2,13,25,0,0,10
167,0,79.9,21.64,1,1,517,17,42,49,415,6,1,0,39,18,0,-20,-20
168,0,69.9,35.81,1,1,136,4,26,49,403,2,4,2,31,32,1,0,3
169,0,69.9,167.05,1,6,174,16,45,52,624,2,1,1,10,21,1,0,3
170,0,37.8,30.2,2,1,252,21,36,42,619,3,1,0,14,25,1,0,1
171,0,39.99,25.63,1,1,531,14,12,39,161,2,5,2,16,35,2,0,1
172,0,79.99,35.82,1,4,603,24,36,55,1400,7,1,1,9,17,0,0,1
173,0,50.0,18.23,1,1,578,21,27,37,558,1,5,2,23,29,0,-7,-7
174,0,98.9,15.44,1,1,119,21,10,44,1529,4,5,2,14,26,0,0,3
175,0,9.9,25.63,1,1,303,25,59,60,236,1,5,2,15,32,0,0,17
176,0,67.9,11.33,1,2,752,24,7,33,888,1,5,0,21,22,0,0,1
177,0,59.9,14.01,1,1,753,17,10,46,1305,1,5,2,5,20,0,0,1
178,0,289.0,46.48,1,1,740,24,59,43,1002,3,3,1,14,28,0,0,2
179,0,133.9,18.19,1,1,646,16,39,29,627,1,5,2,8,25,0,1,9
181,0,29.9,11.84,1,3,715,24,45,55,314,1,4,2,13,26,0,0,3
182,0,189.99,20.82,1,1,637,17,42,42,2511,4,4,2,22,93,1,0,3
183,0,449.99,14.35,1,1,138,24,20,42,1496,3,5,2,1,17,0,0,13
185,0,49.9,14.1,1,1,57,5,27,46,419,4,4,0,21,36,0,0,1
186,0,59.9,17.99,1,1,725,9,45,21,378,2,4,2,10,26,0,2,3
187,0,149.9,18.84,1,3,852,17,12,60,234,1,1,0,18,27,3,0,1
188,0,59.9,19.66,1,1,677,3,33,59,341,2,5,2,14,37,0,0,9
189,0,121.35,13.1,1,1,559,7,10,37,1325,5,4,2,7,21,0,0,5
190,0,799.0,20.35,1,1,57,5,54,58,786,2,4,2,10,20,0,0,1
191,0,48.3,11.85,1,1,752,24,27,56,39,1,5,2,9,22,0,0,1
192,0,23.8,12.48,1,1,389,9,26,53,618,1,5,2,4,16,0,0,1
193,0,89.99,16.39,1,1,666,22,10,59,492,3,5,2,15,32,1,0,1
194,0,258.99,18.55,1,1,69,11,10,54,2125,1,5,2,9,23,0,0,1
195,0,69.9,12.41,1,2,752,24,45,63,668,2,1,0,19,20,0,0,5
197,0,99.0,31.0,1,1,752,24,45,52,747,4,1,0,25,18,1,-4,-3
198,0,17.89,14.52,1,1,817,9,57,56,351,1,5,2,14,22,1,0,23
199,0,229.04,33.89,1,2,517,17,7,52,621,1,5,2,11,20,0,0,3
200,0,72.99,11.15,1,1,670,24,20,54,874,1,3,2,4,9,0,0,2
201,0,68.9,19.72,1,1,677,3,45,59,626,1,4,2,14,27,0,0,5
203,0,219.9,18.79,1,1,640,17,54,42,782,1,4,2,18,23,0,6,7
204,0,370.47,47.71,1,4,478,9,10,53,1125,3,1,0,8,21,0,0,2
206,0,40.5,8.82,1,1,752,24,22,58,290,1,5,2,1,26,0,0,11
207,0,87.85,13.63,1,1,138,24,12,60,226,1,4,2,17,18,0,0,1
208,0,527.92,15.83,1,1,752,24,36,54,288,1,5,2,13,31,0,-1,0
209,0,69.9,18.06,1,1,738,24,33,39,683,1,3,2,8,26,0,0,1
210,0,285.9,66.81,1,1,640,17,46,35,2245,1,4,2,12,24,0,0,1
211,0,39.99,28.75,1,1,821,9,59,45,236,1,4,2,15,27,0,0,3
212,0,86.9,21.56,1,1,634,16,13,56,187,1,5,2,19,25,0,0,1
213,0,349.0,27.72,1,1,640,17,26,31,629,3,1,0,33,26,0,-6,-6
214,0,114.94,28.16,1,1,220,16,46,48,1092,1,5,2,18,25,1,0,3
215,0,60.0,15.17,1,1,43,9,52,35,750,1,2,1,12,24,0,0,1
216,0,20.9,14.1,1,1,293,17,10,57,1123,1,5,2,10,24,0,0,7
217,0,569.0,21.28,1,2,389,9,17,60,327,1,2,0,57,36,0,-20,-19
218,0,49.99,26.89,1,1,80,12,12,39,162,1,5,2,28,35,0,0,1
219,0,169.9,21.68,1,1,120,17,12,54,188,2,5,2,16,24,1,0,3
220,0,79.0,13.57,1,1,715,24,50,52,211,2,5,2,3,21,0,0,3
222,0,229.9,16.36,1,1,502,16,54,42,782,1,5,2,7,22,0,0,1
223,0,194.65,17.12,1,1,150,17,52,55,784,1,5,2,9,24,0,0,1
224,0,35.9,15.69,1,2,515,17,12,54,515,1,5,2,14,28,0,0,9
225,0,119.8,23.84,2,1,101,24,12,56,123,2,2,0,8,21,0,0,2
226,0,49.9,19.59,1,1,677,3,33,58,340,2,5,2,27,28,0,0,1
227,0,120.0,50.71,1,1,849,6,33,47,1893,1,4,2,11,30,1,0,1
228,0,89.9,14.96,1,2,587,24,12,54,245,1,4,2,7,18,0,0,3
229,0,34.99,7.78,1,1,362,24,10,56,575,1,5,2,5,19,0,0,3
230,0,49.9,13.37,1,1,366,24,33,56,348,2,5,2,14,21,0,0,6
231,0,34.99,7.78,1,1,479,24,10,56,575,1,4,1,3,15,0,0,2
232,0,35.9,17.92,1,1,644,3,41,45,217,1,5,2,14,27,0,0,1
233,0,179.0,9.45,1,1,302,24,52,58,827,1,4,2,4,9,0,0,5
234,0,24.75,12.69,1,1,791,24,45,56,297,2,1,1,8,19,0,-1,2
235,0,45.0,7.78,1,1,740,24,57,31,580,2,5,2,5,12,0,0,2
237,0,49.9,14.1,1,2,831,7,45,53,1013,4,1,0,14,28,0,1,3
238,0,89.9,14.8,1,1,721,17,13,56,187,1,1,0,28,26,0,-1,0
239,0,79.0,17.8,1,1,122,6,50,52,211,2,5,2,17,28,0,0,3
240,0,50.0,23.67,2,4,528,24,24,26,416,2,1,0,3,26,0,0,8
241,0,36.9,17.92,1,1,324,10,59,44,922,1,5,2,16,30,1,0,2
242,0,157.0,29.57,1,4,75,24,12,56,1009,2,3,0,7,22,2,0,1
243,0,249.0,18.45,1,1,101,24,13,57,217,3,2,1,8,19,0,0,3
244,0,205.0,18.14,1,1,334,24,12,46,162,5,5,2,8,21,0,0,2
245,0,215.0,8.83,1,1,830,24,12,56,162,5,5,2,2,16,0,0,2
246,0,64.9,22.32,1,1,752,24,12,57,179,1,1,0,25,20,0,-3,-1
247,0,124.99,38.71,1,1,42,17,46,41,1141,1,5,1,19,28,0,-5,-4
248,0,32.99,9.34,1,1,752,24,45,41,789,1,5,2,19,16,0,-8,-2
249,0,205.8,28.9,2,1,226,9,41,45,702,1,1,0,11,19,0,0,1
250,0,128.9,11.18,1,2,752,24,54,49,471,2,4,1,6,26,0,0,1
251,0,119.9,12.64,1,2,752,24,12,60,236,1,5,2,11,18,1,0,4
252,0,76.9,16.98,1,1,520,11,10,59,2851,1,5,2,11,28,1,0,5
253,0,124.0,15.62,1,1,586,17,33,37,775,2,1,0,37,22,0,-12,-11
255,0,149.9,20.29,1,1,677,3,10,46,1523,1,1,0,43,25,1,-15,-15
256,0,339.0,17.12,1,1,172,10,52,52,150,1,5,2,8,27,0,0,2
257,0,299.0,70.24,1,1,517,17,45,45,1563,3,1,0,13,43,0,3,4
258,0,233.8,94.94,1,1,823,7,12,53,457,1,5,2,13,32,0,0,1
260,0,199.9,24.78,1,1,640,17,26,40,1140,1,1,0,45,23,0,-21,-19
261,0,25.0,11.85,1,1,799,24,59,59,1371,2,3,0,22,23,0,0,1
262,0,69.0,25.76,1,1,3,14,54,57,239,4,4,1,10,34,0,0,3
263,0,189.0,13.66,1,1,225,24,50,29,488,3,4,2,6,25,0,0,5
264,0,48.9,15.1,1,1,408,9,59,22,388,3,5,2,17,19,0,0,1
267,0,6.3,15.1,1,1,532,9,52,48,208,1,2,0,30,27,0,-1,0
268,0,89.9,15.38,1,1,211,7,12,54,245,1,3,2,22,27,0,0,1
269,0,65.98,45.34,2,1,802,15,45,41,789,1,1,0,31,22,0,-8,-3
270,0,447.0,32.17,1,1,677,3,25,57,2212,4,1,1,20,30,0,0,1
271,0,142.0,79.16,1,1,637,17,59,56,765,1,4,2,11,21,0,0,4
272,0,110.8,17.03,1,1,451,17,26,53,806,3,5,2,21,29,0,0,1
273,0,248.99,60.29,1,1,445,17,41,53,526,2,4,2,11,35,0,0,3
274,0,64.99,11.95,1,1,650,24,10,59,492,2,5,2,6,23,0,-3,0
275,0,49.0,13.41,1,1,752,24,33,56,348,2,5,2,10,19,0,0,3
276,0,79.98,19.73,1,1,302,24,45,37,1090,1,3,2,13,27,1,0,4
277,0,24.9,14.1,1,1,786,24,27,56,142,6,4,2,12,38,0,0,3
278,0,69.9,11.73,1,1,752,24,59,30,203,2,1,0,24,19,0,-3,-3
279,0,270.0,14.02,1,1,752,24,53,40,961,1,3,0,16,24,0,0,1
280,0,29.9,15.11,1,1,57,5,45,59,325,3,5,2,17,27,0,0,1
281,0,347.91,12.57,1,6,752,24,36,53,204,1,5,2,12,30,0,0,1
282,0,18.9,12.48,1,1,32,24,24,41,251,1,5,2,12,19,2,0,1
283,0,115.0,36.13,1,1,814,3,54,35,211,1,4,2,24,32,0,-1,4
284,0,388.0,15.15,1,1,784,24,8,59,867,3,5,2,5,11,0,0,1
285,0,136.9,8.72,1,1,362,24,50,33,197,2,5,2,5,12,0,0,1
286,0,34.3,15.1,1,1,313,21,27,57,66,1,5,2,12,34,0,0,3
287,0,28.9,16.34,1,2,752,24,12,42,111,1,4,2,7,23,0,0,4
288,0,199.99,59.95,1,1,220,16,46,43,1128,1,5,2,16,31,0,0,1
289,0,120.0,21.64,1,1,509,18,11,60,196,4,5,2,17,36,1,-13,-10
290,0,84.99,16.22,1,1,188,24,10,49,1513,3,1,1,12,22,0,0,1
291,0,690.0,65.57,1,1,145,16,37,59,1123,1,5,2,8,22,0,0,3
293,0,69.9,15.24,1,1,57,5,52,37,169,1,5,2,16,23,0,0,3
294,0,56.0,11.89,1,1,595,24,36,21,181,1,1,0,27,19,0,-6,-5
295,0,79.0,19.79,1,1,360,24,24,58,945,1,5,2,5,25,0,0,5
296,0,26.9,13.37,1,1,569,9,59,58,379,1,5,2,4,17,0,0,4
297,0,106.72,13.09,1,1,752,24,45,59,634,2,5,2,6,15,0,0,1
298,0,69.88,33.89,1,6,838,6,45,64,69,11,5,2,25,25,2,0,2
299,0,24.99,14.1,1,1,261,22,57,60,1170,2,4,2,13,22,1,0,1
300,0,59.9,14.15,1,1,716,24,45,41,592,1,4,2,7,26,1,0,5
303,0,44.9,17.6,1,1,591,16,33,29,799,1,5,2,14,27,0,0,1
304,0,19.9,19.95,1,1,706,9,24,52,240,1,1,2,21,35,1,0,7
305,0,49.0,10.59,1,2,340,9,33,59,341,2,5,2,19,23,0,0,1
306,0,189.0,16.76,1,1,752,24,10,42,693,1,5,2,7,23,0,0,1
307,0,39.9,11.72,1,2,752,24,45,25,427,2,1,0,3,17,0,0,17
308,0,1099.0,51.54,1,1,638,11,54,60,286,4,5,2,16,33,0,0,1
309,0,92.9,15.4,1,1,23,7,59,40,660,6,5,2,15,28,0,0,3
310,0,12.0,7.39,1,1,479,24,10,52,1059,6,5,2,4,12,0,0,1
311,0,48.1,15.44,1,3,331,22,26,54,638,1,5,2,5,32,0,2,4
312,0,24.5,15.1,1,1,640,17,16,56,237,3,4,2,20,24,0,0,2
313,0,42.99,15.1,1,1,182,9,53,47,115,6,5,2,7,23,0,0,2
314,0,45.95,11.85,1,1,54,24,12,39,161,2,5,2,12,21,0,0,5
315,0,118.9,25.67,1,1,279,7,46,54,800,2,5,2,21,25,0,0,1
316,0,89.18,15.38,1,1,141,10,59,49,1226,1,2,0,19,24,0,0,1
317,0,248.99,60.29,1,1,640,17,41,53,526,2,1,0,28,22,0,-5,-4
318,0,44.9,13.99,1,6,138,24,41,49,114,1,4,1,12,22,0,0,1
319,0,99.9,29.1,1,1,47,25,53,58,1072,2,4,2,24,31,0,0,1
320,0,79.7,7.53,1,4,492,24,53,50,1104,2,1,1,4,24,0,0,3
322,0,179.99,23.84,1,1,740,24,46,40,1187,1,4,1,11,21,1,1,2
324,0,34.9,26.44,1,8,752,24,8,58,361,4,1,0,5,19,0,0,1
325,0,159.94,33.51,1,1,640,17,46,33,1205,1,1,1,19,27,0,0,5
326,0,99.0,33.08,1,1,410,24,33,36,450,1,4,2,16,24,0,0,3
327,0,40.0,17.6,1,4,640,17,12,50,234,1,5,2,13,22,0,0,1
328,0,56.99,15.15,1,1,233,16,52,45,1003,2,5,2,25,23,0,-1,2
329,0,51.92,12.7,1,1,789,24,45,55,133,1,5,2,7,17,0,0,3
330,0,169.99,60.2,1,1,343,3,46,40,1187,1,4,2,19,33,0,0,1
331,0,54.99,15.13,1,1,419,9,12,51,650,2,5,2,15,21,0,0,1
332,0,36.0,11.85,1,1,253,24,2,58,3817,4,5,2,8,19,1,0,1
333,0,69.9,11.99,1,1,595,24,31,38,50,1,2,1,20,16,0,-2,2
334,0,72.0,16.75,1,1,86,9,59,49,506,1,4,2,4,17,0,0,1
335,0,249.9,16.5,1,1,424,21,54,43,602,2,5,2,18,25,0,0,4
336,0,189.99,9.7,1,1,752,24,10,53,3734,5,4,2,6,18,0,0,3
338,0,299.99,20.08,1,1,512,17,57,56,1892,4,4,2,9,26,0,0,6
339,0,94.0,17.1,1,1,512,17,17,58,339,1,3,0,27,26,0,0,1
340,0,159.0,21.6,1,1,82,9,20,35,602,2,4,2,9,22,0,0,2
342,0,14.0,8.88,1,9,170,16,53,57,159,1,2,0,8,23,2,0,1
343,0,16.9,20.94,1,12,272,24,12,26,421,1,1,0,3,18,0,0,1
344,0,139.9,17.55,1,1,217,11,20,46,588,2,5,2,15,26,0,0,2
345,0,44.55,6.82,1,4,622,21,45,56,297,2,1,0,12,25,0,0,1
346,0,67.9,14.23,1,1,57,5,41,40,124,1,5,2,13,27,0,0,3
347,0,53.99,11.88,1,1,708,24,52,44,334,1,5,2,8,21,0,0,1
348,0,65.0,34.25,1,1,282,8,36,55,252,4,5,0,48,30,2,-15,-15
349,0,69.9,26.11,1,1,752,24,45,45,67,2,5,2,8,22,0,0,3
351,0,20.0,12.69,1,1,6,24,7,56,423,3,5,2,5,25,0,6,7
352,0,273.0,19.16,1,1,537,9,8,28,855,2,4,2,22,29,0,0,1
354,0,15.9,12.69,1,1,77,24,26,56,307,4,5,2,6,19,0,0,1
355,0,39.9,15.79,1,1,261,22,36,53,144,2,5,2,17,28,1,0,2
357,0,23.9,42.38,1,1,622,21,45,46,2600,1,5,2,27,27,2,0,3
358,0,32.9,19.59,1,1,198,3,33,60,959,2,1,1,15,29,0,0,1
